Date,Open,High,Low,Close,Volume,Adj Close
2014-04-15,35.98,36.009998,35.639999,35.68,5700,35.68
2014-04-14,35.459999,36.040001,35.459999,35.93,7500,35.93
2014-04-11,35.599998,35.900002,35.009998,35.009998,3500,35.009998
2014-04-10,35.990002,36.00,30.40,36.00,5700,36.00
2014-04-09,34.439999,35.299999,34.439999,35.299999,3700,35.299999
2014-04-08,33.900002,34.50,33.900002,34.290001,2100,34.290001
2014-04-07,32.75,32.93,31.940001,32.650002,4200,32.650002
2014-04-04,33.150002,33.150002,33.150002,33.150002,100,33.150002
2014-04-03,31.559999,32.369999,31.559999,32.369999,1600,32.369999
2014-04-02,31.32,31.719999,30.85,31.709999,3000,31.709999
2014-04-01,33.25,33.25,31.440001,31.440001,3700,31.440001
2014-03-31,33.689999,33.82,32.130001,33.82,3000,33.82
2014-03-28,33.720001,33.759998,33.459999,33.549999,3000,33.549999
2014-03-27,33.25,33.50,33.25,33.349998,8900,33.349998
2014-03-26,31.879999,32.27,31.68,32.18,3600,32.18
2014-03-25,31.60,32.040001,31.15,31.620001,4000,31.620001
2014-03-24,32.240002,32.240002,31.389999,31.389999,2000,31.389999
2014-03-21,31.629999,32.360001,31.43,32.00,9500,32.00
2014-03-20,30.91,31.450001,30.40,30.85,7000,30.85
2014-03-19,31.00,31.25,30.620001,31.15,2600,31.15
2014-03-18,30.459999,30.90,30.459999,30.90,2300,30.90
2014-03-17,30.129999,30.129999,29.35,29.799999,10000,29.799999
2014-03-14,30.65,30.85,30.32,30.799999,7200,30.799999
2014-03-13,30.07,30.299999,29.879999,30.23,9100,30.23
2014-03-12,30.27,30.65,29.59,30.26,20200,30.26
2014-03-11,32.290001,32.529999,31.209999,31.209999,4300,31.209999
2014-03-10,33.91,35.220001,32.09,32.75,3800,32.75
2014-03-07,33.93,34.669998,33.93,34.669998,7900,34.669998
2014-03-06,32.970001,33.68,32.060001,33.68,7900,33.68
2014-03-05,33.709999,33.709999,32.669998,32.700001,4100,32.700001
2014-03-04,35.400002,35.450001,34.990002,35.049999,3700,35.049999
2014-03-03,36.209999,36.970001,35.919998,36.700001,12200,36.700001
2014-02-28,34.43,34.700001,34.18,34.330002,18200,34.330002
2014-02-27,34.009998,34.119999,33.68,34.110001,3900,34.110001
2014-02-26,34.169998,34.73,34.130001,34.599998,15700,34.599998
2014-02-25,33.310001,33.759998,33.09,33.740002,11100,33.740002
2014-02-24,34.240002,35.18,34.200001,34.209999,4400,34.209999
2014-02-21,34.369999,34.490002,33.66,34.060001,15300,34.060001
2014-02-20,34.66,34.66,34.32,34.470001,1300,34.470001
2014-02-19,34.200001,35.139999,34.200001,35.009998,22600,35.009998
2014-02-18,33.09,34.200001,33.00,34.200001,12700,34.200001
2014-02-14,31.389999,32.189999,31.379999,32.099998,2500,32.099998
2014-02-13,31.73,32.200001,31.73,31.889999,3200,31.889999
2014-02-12,32.50,32.740002,31.790001,31.790001,8400,31.790001
2014-02-11,31.66,31.68,31.379999,31.58,4400,31.58
2014-02-10,31.59,31.870001,31.280001,31.469999,2900,31.469999
2014-02-07,29.950001,31.52,29.950001,31.50,18000,31.50
2014-02-06,30.15,30.23,29.379999,29.540001,5600,29.540001
2014-02-05,29.299999,29.60,28.780001,29.049999,7100,29.049999
2014-02-04,29.299999,29.360001,29.07,29.110001,1400,29.110001
2014-02-03,29.24,29.24,28.200001,28.50,6300,28.50
2014-01-31,29.299999,29.84,29.26,29.26,1600,29.26
2014-01-30,30.09,30.200001,29.690001,29.690001,8200,29.690001
2014-01-29,28.530001,29.290001,28.530001,28.98,6400,28.98
2014-01-28,29.120001,29.35,29.00,29.00,6000,29.00
2014-01-27,28.75,28.809999,27.360001,27.84,6000,27.84
2014-01-24,29.049999,29.049999,28.309999,28.75,13600,28.75
2014-01-23,28.959999,29.59,28.959999,29.049999,16200,29.049999
2014-01-22,27.83,28.75,27.799999,28.700001,35600,28.700001
2014-01-21,27.35,27.43,26.85,27.360001,22200,27.360001
2014-01-17,26.68,26.950001,26.639999,26.65,4300,26.65
2014-01-16,26.65,26.690001,26.190001,26.52,25400,26.52
2014-01-15,25.75,27.00,25.709999,26.83,64800,26.83
2014-01-14,25.389999,25.60,24.99,25.190001,19600,25.190001
2014-01-13,25.120001,25.25,24.60,24.620001,16600,24.620001
2014-01-10,25.360001,25.57,25.120001,25.57,8300,25.57
2014-01-09,25.50,25.52,24.379999,25.139999,35000,25.139999
2014-01-08,26.389999,26.389999,25.24,25.42,51700,25.42
2014-01-07,26.209999,26.74,26.16,26.52,11000,26.52
2014-01-06,26.59,26.68,26.00,26.42,23700,26.42
2014-01-03,27.73,27.77,26.549999,26.809999,28500,26.809999
2014-01-02,29.17,29.309999,27.90,27.969999,30200,27.969999
2013-12-31,30.620001,30.98,30.59,30.879999,9100,30.879999
2013-12-30,31.799999,31.809999,31.440001,31.440001,1900,31.440001
2013-12-27,32.040001,32.830002,32.040001,32.349998,7000,32.349998
2013-12-26,31.629999,31.629999,31.629999,31.629999,200,31.629999
2013-12-24,31.450001,31.50,31.450001,31.469999,600,31.469999
2013-12-23,31.09,31.26,31.09,31.09,7000,31.09
2013-12-20,31.129999,31.50,31.129999,31.440001,3100,31.440001
2013-12-19,30.790001,31.66,30.790001,31.02,12000,31.02
2013-12-18,30.40,30.50,29.84,30.139999,2300,30.139999
2013-12-17,30.42,30.42,29.870001,29.870001,1500,29.870001
2013-12-16,30.00,30.27,30.00,30.27,2000,30.27
2013-12-13,29.25,29.620001,28.459999,29.23,26800,29.23
2013-12-12,30.299999,30.309999,29.98,30.059999,1100,30.059999
2013-12-11,30.58,30.790001,29.049999,30.15,12900,30.15
2013-12-10,30.93,36.00,30.60,30.99,5900,30.99
2013-12-09,30.49,30.540001,29.969999,30.049999,7000,30.049999
2013-12-06,30.129999,30.280001,30.02,30.24,6500,30.24
2013-12-05,30.059999,30.540001,30.059999,30.190001,6600,30.190001
2013-12-04,29.620001,30.16,29.379999,29.870001,23300,29.870001
2013-12-03,27.24,28.90,27.24,28.879999,27000,28.879999
2013-12-02,26.43,27.08,26.43,27.01,11900,27.01
2013-11-29,26.07,26.879999,26.07,26.75,6600,26.75
2013-11-27,25.99,26.50,25.34,25.719999,25100,25.719999
2013-11-26,27.25,27.309999,26.75,27.01,5300,27.01
2013-11-25,26.719999,27.290001,26.52,27.290001,6900,27.290001
2013-11-22,27.809999,28.01,27.379999,28.01,2600,28.01
2013-11-21,27.59,28.370001,27.43,28.209999,9600,28.209999
2013-11-20,27.27,27.629999,26.959999,26.959999,3400,26.959999
2013-11-19,26.65,27.139999,26.629999,27.10,2100,27.10
2013-11-18,27.57,27.67,26.700001,26.84,14200,26.84
2013-11-15,27.860001,27.860001,27.450001,27.52,2900,27.52
2013-11-14,27.01,27.799999,26.469999,27.799999,8900,27.799999
2013-11-13,27.969999,28.030001,27.49,27.49,4000,27.49
2013-11-12,28.00,28.16,26.68,26.780001,6900,26.780001
2013-11-11,28.00,28.66,27.959999,28.540001,4100,28.540001
2013-11-08,28.10,28.10,27.799999,28.00,2800,28.00
2013-11-07,27.950001,28.049999,27.450001,28.049999,3900,28.049999
2013-11-06,27.58,28.700001,27.58,28.33,21600,28.33
2013-11-05,27.799999,27.82,26.85,27.110001,18800,27.110001
2013-11-04,28.15,28.15,28.120001,28.120001,500,28.120001
2013-11-01,28.799999,28.82,28.00,28.18,6600,28.18
2013-10-31,30.24,30.24,29.629999,29.629999,5500,29.629999
2013-10-30,30.66,30.91,30.10,30.15,7400,30.15
2013-10-29,31.719999,31.719999,31.700001,31.700001,400,31.700001
2013-10-28,31.18,32.290001,31.18,31.99,3000,31.99
2013-10-25,31.129999,31.309999,30.99,31.309999,8300,31.309999
2013-10-24,29.629999,30.540001,29.620001,30.540001,3100,30.540001
2013-10-23,29.99,30.450001,29.700001,30.27,6600,30.27
2013-10-22,33.110001,33.200001,31.58,31.719999,7300,31.719999
2013-10-21,33.830002,33.91,33.00,33.130001,6000,33.130001
2013-10-18,34.50,34.830002,34.48,34.48,2800,34.48
2013-10-17,34.830002,34.84,33.860001,34.389999,10600,34.389999
2013-10-16,35.970001,36.200001,35.66,35.98,9200,35.98
2013-10-15,35.130001,35.50,34.75,34.75,6800,34.75
2013-10-14,35.23,35.98,35.23,35.93,4200,35.93
2013-10-11,34.759998,35.400002,34.599998,35.360001,25700,35.360001
2013-10-10,35.150002,36.880001,35.119999,36.41,55200,36.41
